Bors alb la plic Mammita,0,1,1,0,0,22,1,0.3,3.7,0
Bors de putina Tecuci,0,1,1,0,0,7,0.3,0,1.4,0
Bors de tarate,0,1,1,0,0,4,0.4,0,0.6,0
Ciorba de burta la plic Knorr,0,1,1,0,0,22,0.6,0.7,3.3,0.1
Ciorba de burta Maggi,0,1,1,0,0,23.2,0.6,1.4,0,0.1
Ciorba de vacuta Vascar Scandia,0,1,1,0,0,86,4.4,5.4,4,0
Ciorba pui cu smantina Scandia ,0,1,1,0,0,99,4.3,7.9,2.6,0
Sunca de porc cu legume ElPozo,1,1,1,0,0,176,10,12,7,0
Supa chinezeasca acra-iute,0,1,1,0,0,150,7,9,11,3.4
Supa crema cu cartofi Velicia Scandia ,0,1,1,0,0,51,1.4,2.1,6.5,0
Supa crema de ciuperci Knorr,0,1,1,0,0,18,0.7,0.2,3.3,0.1
Supa crema de legume Knorr,0,1,1,0,0,25,0.4,0.9,3.6,0.1
Supa crema de linte la plic Mammita,0,1,1,0,0,31,1.4,0.6,5,0
Supa crema de pui cu crutoane 5 min Maggi,0,1,1,0,0,357,8.8,14.7,46.1,2.7
Supa crema de rosii Velicia Scandia ,0,1,1,0,0,62,0.8,4.4,4.7,0
Supa crema rosii Weight Watchers,0,1,1,0,0,36,0.9,0.3,7.3,0.7
Supa cu fidea cu gust de branza SunPei,0,1,1,0,0,459,12.9,19.7,57.4,19.7
Supa cu fidea cu gust de tomate Sun Pei,0,1,1,0,0,417,12,13.4,62.1,0
Supa de gaina instant Mammita,0,1,1,0,0,39,1.3,1.3,5.6,0
Supa de linte cu carne de porc afumata Lidl,0,1,1,0,0,82,5.5,1.7,10,0
Supa de pui cu fidea Maggi,0,1,1,0,0,303,11.5,4.2,52.6,2.8
Supa de pui cu taitei Knorr,0,1,1,0,0,19,0.7,0.2,3.6,0.1
Supa de pui instant cu crutoane Knorr,0,1,1,0,0,383,10,12,58,1
Supa de pui instant cu crutoane Maggi,0,1,1,0,0,406,3.5,27,39,1
Supa de pui instant Mikado Lidl,0,1,1,0,0,21,0.9,0.3,3.5,2
Supa de pui Sunpei Lidl,0,1,1,0,0,463,9.6,18.1,64,20
Supa de vacuta cu fidea Maggi,0,1,1,0,0,332,14.1,8.5,48.1,2.5
Supa fidea cu rosii Rolton,0,1,1,0,0,480,7.9,22.8,60.8,2.1
Supa instant cu gust de pui Maggi,0,1,1,0,0,353,10.3,4.1,67.8,2
Supa instant cu taitei si gust de rata Mammita,0,1,1,0,0,87,1.8,3.6,11.9,0
Supa instant cu taitei  pui si gust de curry Vifon,0,1,1,0,0,442,8,18,62,0
Supa instant de rosii cu taitei Maggi,0,1,1,0,0,358,8.4,8.5,59.3,5.2
Supa la plic cu gust de vita Fidelicios Maggie,0,1,1,0,0,404,7.2,18.5,52,0.1
Supa limpede de legume,0,1,1,0,0,6,0,0,1.2,0.4
Supa limpede de pui,0,1,1,0,0,15.2,1.9,0.6,0.4,0
Supa limpede de vita,0,1,1,0,0,10,1.6,0.4,0,0
Supa pui cu fidea Knorr,0,1,1,0,0,313,12.3,4.7,52.9,0
Supa rosii Arla,0,1,1,0,0,80,1.5,4.5,7,0
Conserva ciorba de pui Scandia Traditii,0,1,1,0,0,55,4.1,3,3,0.1
Conserva ciorba de vacuta Scandia Traditii,0,1,1,0,0,71,0.5,3.8,4.3,0.1
Conserva de ciorba de burta Scandia Traditii,0,1,1,0,0,116,9,7.5,3.2,0
Supa cu fidea de preparare rapida cu gust de legume Rollton,0,1,1,0,0,480,7.9,22.8,60.8,0
Supa noodles Mammita,0,1,1,0,0,87,1.8,3.6,11.9,0
