 Sos de soia premium Cholimex,9,1.9,0,0.2,0
Adaos pentru mancaruri cu gust de gaina Vegeta Podravka,148,9.8,0.5,26,0
Arpagic proaspat,32,1.8,0.2,7.3,2.6
Baza pentru aripioare picante Ideea Zilei Crocant din cuptor Maggie,378,12.6,7.3,63,4.7
Baza pentru mancare cu gust de gaina Delikat,124.9,8.4,0.9,20.6,0
Baza pentru mancare cu legume Gustul de acasa Deli'Kat,170,7,0.8,29,3.5
Baza pentru mancare gust de gaina Gustul de acasa Deli'Kat ,140,8,0.9,19,2.5
Baza pentru mancare legume Delikat,120.3,6.7,0.7,21.6,0
Baza pentru mancaruri Mirodenia Fuchs,124,5.3,2,21.2,9.8
Boia de ardei dulce,274,14,13.2,55,0
Bors cu verdeturi Magic Delikat,227,4.5,4.5,32,0
Bors Magic cu legume Delikat,199,6,0.8,24,4
Busuioc uscat,251,14.4,4,61,40.5
Busuioc verde,27,2.5,0.6,4.3,3.9
Capere conservate,23,2.4,0.9,4.9,3.2
Cardamon,311,10.8,6.7,68.5,28
Chili pudra,314,12.3,16.8,54.7,34.2
Chimen seminte,333,19.8,14.6,49.9,38
Cimbru uscat,272,7,6,69,46
Cimbru verde,101,5.6,1.7,24.5,14
Condiment cu ulei de masline Adazia,106.2,3.6,0.3,22.2,0
Condimente amaranth Bio Solaris Plant,374,14.4,6.5,66,9.3
Condimente cartofi cu sunca la cuptor Maggi,338,9.8,13.5,43.9,2.7
Condimente dressing garden - K Classic Kaufland,25,0.1,0.1,5.3,0
Condimente pentru coaste la gratar Maggi,262,11.4,3.2,43.9,5.9
Condimente Secretul Gustului legume Maggi,91,5.2,1.8,11.5,0.6
Condimente Secretul Gustului verdeturi Maggi,124,6.8,3.2,16.2,1.4
Coriandru frunze,23,2.1,0.5,3.7,2.8
Coriandru uscat,279,21.9,4.8,52.1,10.4
Cuburi bulion Gallina Blanca,186,3.9,9,21.4,0
Cuisoare,323,6,20.1,61.2,34.2
Curry pudra,325,14.3,14,55.9,0
Delik'at Gustul de acasa legume,120.3,6.7,0.7,21.6,0
Drojdie proaspata,105,8.4,1.9,18.1,0
Drojdie uscata,295,38.3,4.6,38.2,21
Enibahar boabe,263,6.1,8.7,72.1,21.6
Frunze de patrunjel,36,3,0.8,6.3,3.3
Ghimbir macinat,347,9.1,6,70.8,12.5
Ghimbir macinat Kotanyi,316,7.4,3.3,60,0
Ghimbir proaspat,80,1.8,0.8,17.8,2
Granule usturoi,332,16.8,0.8,72.7,9.9
Ideea zilei baza pentru pui fraget cu usturoi Maggi,112,11.1,6.6,2.1,0.2
Ideea zilei baza pentru spaghete carbonara Maggi,416,13,18.7,47.6,3.4
Inlocuitor lapte pudra pentru cafea Coffeeta,517,0.9,73.4,24,0
Jeleuri de ghimbir Sanovita,365.8,0,0,90.2,2.4
Ketchup,109,2,0.3,24,0
Ketchup Bavaria Hellmann's,105,1.6,0.1,24,0.8
Ketchup dulce Gustile,101,0.5,0.1,24.3,0
Ketchup dulce Olympia,49,1,0,11.2,0
Ketchup dulce Regal,77,0.7,0,18.6,0
Ketchup picant Heinz Hot,104,1,0.1,24.2,0
Ketchup picant Regal,80,1,0.1,18.5,0.5
Leustean,37,3,0.8,6.4,2
Maghiran uscat,271,12.7,7,60.6,40.3
Maioneza cu ou 365,727,1.2,80.1,0.4,0
Marar,43,3.5,1.1,7,2.1
Marar uscat,253,20,4.4,55.8,13.6
Menta proaspata,70,3.8,0.9,14.9,8
Mustar,67,4,4,5,3
Mustar  Alimcom,158.5,9.6,8.9,10,0
Mustar clasic Carrefour,36,4.5,0.4,3.4,0
Mustar clasic Kamis,97,5.1,5.7,6.4,1
Mustar clasic Knorr,105,4.5,5.4,8.4,0.4
Mustar clasic Maggi,75,5.4,5.2,4.5,0
Mustar clasic Regal,117,4,4.5,14,2.2
Mustar Dijon Carrefour,147,7.2,11.5,3.6,0
Mustar frantuzesc Carrefour,147,8.5,8.2,9.5,0
Mustar grill Benita,131,5,5.8,7.2,0
Mustar Heinz,116,6.5,6,7.6,0
Nucsoara macinata,525,5.8,36.3,49.3,0
Oregano uscat,306,11,10.3,64.4,42.8
Otet balsamic Modena de nigris 8*,33,0,0,6.7,0
Otet din vin rosu Carrefour,3.1,0,0,0.7,0
Paprika,289,14.8,13,55.7,37.4
Pasta rodii Durra,85,0,1,19,0.3
Patrunjel uscat,276,22.4,4.4,51.7,30.4
Piper cayenne chilli,318,12,17.3,56.6,27.2
Piper negru,255,11,3.3,64.8,26.5
Rozmarin proaspat,131,3.3,5.9,20.7,14.1
Rozmarin uscat,331,4.9,15.2,64.1,42.6
Rucola,25,2.6,0.7,3.7,1.6
Sare  cu ierburi Bio Greno,39,1.6,1.6,4.3,3.5
Sare de masa,0,0,0,0,0
Scortisoara macinata,261,3.9,3.2,79.8,54.3
Scortisoara macinata Orlando's,456,4,1.2,80.6,53.1
Sofran,310,11.4,5.8,65.4,3.9
Sos soia Urtekram,70,8.9,0,8.4,0
Tarhon frunze uscate,295,23,7,50,7
Tarhon frunze verzi,49,3,1,6,1.5
Tzatziki,54,4,0.4,8.6,0.8
Tzatziki Dr.Oetcker,131,3.5,9.8,7.3,0
Usturoi,137,6.8,0.1,26.3,0
Vegeta Podravka,137,8.5,0.6,24.5,0
Zahar aromat cu gust de scortisoara Bak Family,398,0,0,99.5,0
